status,price,bed,bath,acre_lot,full_address,street,city,state,zip_code,house_size,sold_date
for_sale,115000.0,3.0,2.0,,"Porticos De Guaynabo Unit 3-302, Guaynabo, PR, 00969",Porticos De Guaynabo Unit 3-302,Guaynabo,Puerto Rico,969.0,952.0,
for_sale,160000.0,3.0,2.0,,"Km 7 Carr 187 Unit F302, Loiza, PR, 00772",Km 7 Carr 187 Unit F302,Loiza,Puerto Rico,772.0,1208.0,
for_sale,210000.0,4.0,3.0,,"1 Carr 199 Las Cumbres Ave Unit 105, Guaynabo, PR, 00969",1 Carr 199 Las Cumbres Ave Unit 105,Guaynabo,Puerto Rico,969.0,1660.0,
for_sale,85000.0,3.0,1.0,,"503 Calle Modesta Apt 2003, San Juan, PR, 00924",503 Calle Modesta Apt 2003,San Juan,Puerto Rico,924.0,722.0,
for_sale,1750000.0,6.0,3.0,0.25,"644 Calle Heliconia, San Juan, PR, 00926",644 Calle Heliconia,San Juan,Puerto Rico,926.0,5700.0,
for_sale,200000.0,3.0,2.0,,"1504 Avenida San Patricio Unit 1504, Guaynabo, PR, 00969",1504 Avenida San Patricio Unit 1504,Guaynabo,Puerto Rico,969.0,1228.0,
for_sale,850000.0,8.0,6.0,0.12,"1427 Calle Americo Salas, San Juan, PR, 00909",1427 Calle Americo Salas,San Juan,Puerto Rico,909.0,4111.0,
for_sale,179000.0,2.0,2.0,,"213 Ave Las Marias Apt 502, San Juan, PR, 00927",213 Ave Las Marias Apt 502,San Juan,Puerto Rico,927.0,1008.0,
for_sale,150000.0,3.0,2.0,,"2 Calle Los Parrilla Unit 1101, Loiza, PR, 00745",2 Calle Los Parrilla Unit 1101,Loiza,Puerto Rico,745.0,1459.0,
for_sale,749000.0,4.0,3.0,0.12,"713 Hernandez St, San Juan, PR, 00907",713 Hernandez St,San Juan,Puerto Rico,907.0,3750.0,
for_sale,300000.0,7.0,2.0,0.34,"87 Calle 2, Rio Grande, PR, 00745",87 Calle 2,Rio Grande,Puerto Rico,745.0,2140.0,
for_sale,750000.0,8.0,7.0,0.07,"66 Placid Ct, San Juan, PR, 00907",66 Placid Ct,San Juan,Puerto Rico,907.0,2500.0,
for_sale,139900.0,4.0,2.0,0.08,"Villas De Loiza D 17 2 St Loiza Pr # 772, Loiza, PR",Villas De Loiza D 17 2 St Loiza Pr # 772,Loiza,Puerto Rico,,1080.0,
for_sale,110000.0,,,0.67,"8 Lote Lot 8, Guaynabo, PR, 00969",8 Lote Lot 8,Guaynabo,Puerto Rico,969.0,,
for_sale,900000.0,5.0,2.0,0.97,"Rio Piedra San Juan, San Juan, PR, 00926",Rio Piedra San Juan,San Juan,Puerto Rico,926.0,3500.0,
for_sale,950000.0,6.0,5.0,0.15,"Caoba Unit 31, San Juan, PR, 00913",Caoba Unit 31,San Juan,Puerto Rico,913.0,3210.0,
for_sale,325000.0,,,0.73,"Km 1 3 Carr 842 Monacillo Km 1 3 Int Camino Romani San Juan, San Juan, PR, 00926",Km 1 3 Carr 842 Monacillo Km 1 3 Int Camino Romani San Juan,San Juan,Puerto Rico,926.0,,
for_sale,59200.0,2.0,1.0,,"1108 Golden Tower Unit 1108, Carolina, PR, 00630",1108 Golden Tower Unit 1108,Carolina,Puerto Rico,630.0,830.0,
for_sale,800000.0,,,4.86,"Km 5 2 Lot 6B, Dorado, PR, 00646",Km 5 2 Lot 6B,Dorado,Puerto Rico,646.0,,
for_sale,150000.0,,,1.46,"Solar 6 Carr # 308, Cabo Rojo, PR, 00623",Solar 6 Carr # 308,Cabo Rojo,Puerto Rico,623.0,,
for_sale,120000.0,,,1.33,"39 Riverside, Guaynabo, PR, 00971",39 Riverside,Guaynabo,Puerto Rico,971.0,,
for_sale,140000.0,,,0.31,"Carr 20 Carr # 20, Guaynabo, PR, 00971",Carr 20 Carr # 20,Guaynabo,Puerto Rico,971.0,,
for_sale,112500.0,4.0,3.0,0.09,"813 Calle Tulipn, Fajardo, PR, 00738",813 Calle Tulipn,Fajardo,Puerto Rico,738.0,3500.0,
for_sale,72700.0,3.0,1.0,1.33,"C2 Ext, Rio Grande, PR, 00745",C2 Ext,Rio Grande,Puerto Rico,745.0,843.0,
for_sale,55000.0,2.0,1.0,0.09,"432 Villa Hosto, Toa Baja, PR, 00949",432 Villa Hosto,Toa Baja,Puerto Rico,949.0,1035.0,
for_sale,90000.0,3.0,2.0,0.93,"G Y H 185 14 2 Rd Unit Km, Carolina, PR, 00979",G Y H 185 14 2 Rd Unit Km,Carolina,Puerto Rico,979.0,1200.0,
for_sale,62000.0,2.0,1.0,0.11,"71 A # 9, Loiza, PR, 00772",71 A # 9,Loiza,Puerto Rico,772.0,924.0,
for_sale,140000.0,3.0,2.0,0.55,"AA14 Calle 32, Trujillo Alto, PR, 00976",AA14 Calle 32,Trujillo Alto,Puerto Rico,976.0,1816.0,
for_sale,95600.0,3.0,1.0,0.05,"Int 659 Pr Lot 15, Dorado, PR, 00646",Int 659 Pr Lot 15,Dorado,Puerto Rico,646.0,816.0,
for_sale,105000.0,3.0,2.0,,"10B Cond Parque Terralinda Unit 10B, Trujillo Alto, PR, 00976",10B Cond Parque Terralinda Unit 10B,Trujillo Alto,Puerto Rico,976.0,1181.0,
for_sale,195000.0,6.0,3.0,0.22,"Calle 1 Urb Hacienda El Zorzal, Bayamon, PR, 00956",Calle 1 Urb Hacienda El Zorzal,Bayamon,Puerto Rico,956.0,1240.0,
